0000	0.0000e+00	2.8297e-04	3.0472e-05
0010	1.6007e-02	3.9914e-02	4.6413e-01
0020	4.6813e-02	2.1606e-02	3.6066e-01
0030	8.4615e-02	1.5278e-02	3.2788e-01
0040	1.2500e-01	1.5683e-02	3.4091e-01
0050	1.6667e-01	1.4764e-02	3.4849e-01
0060	2.0833e-01	1.4584e-02	3.5721e-01
0070	2.5000e-01	1.4036e-02	3.6261e-01
0080	2.9167e-01	1.4215e-02	3.7136e-01
0090	3.3333e-01	1.5188e-02	3.8477e-01
0100	3.7500e-01	1.5339e-02	3.9226e-01
0110	4.1667e-01	1.5331e-02	4.0404e-01
0120	4.5833e-01	1.4681e-02	4.0839e-01
0130	5.0000e-01	1.5993e-02	4.2669e-01
0140	5.4167e-01	1.5002e-02	4.2221e-01
0150	5.8333e-01	1.5368e-02	4.3062e-01
0160	6.2500e-01	1.5225e-02	4.3713e-01
0170	6.6667e-01	1.4862e-02	4.4362e-01
0180	7.0833e-01	1.4895e-02	4.4989e-01
0190	7.5000e-01	1.5447e-02	4.5828e-01
0200	7.9167e-01	1.5458e-02	4.6404e-01
0210	8.3333e-01	1.5782e-02	4.7739e-01
0220	8.7500e-01	1.5102e-02	4.7107e-01
0230	9.1667e-01	1.4914e-02	4.7685e-01
0240	9.5833e-01	1.4601e-02	4.8596e-01
0250	1.0000e+00	1.4467e-02	4.8299e-01
0260	1.0417e+00	1.4224e-02	4.8653e-01
0270	1.0833e+00	1.3752e-02	4.9300e-01
0280	1.1250e+00	1.3584e-02	4.9033e-01
0290	1.1667e+00	1.4077e-02	5.0222e-01
0300	1.2083e+00	1.2618e-02	4.9709e-01
0310	1.2500e+00	1.3682e-02	5.0846e-01
0320	1.2917e+00	1.2923e-02	5.0568e-01
0330	1.3333e+00	1.3633e-02	5.1737e-01
0340	1.3750e+00	1.2886e-02	5.1306e-01
0350	1.4167e+00	1.4008e-02	5.2561e-01
0360	1.4583e+00	1.3018e-02	5.2513e-01
0370	1.5000e+00	1.3108e-02	5.3023e-01
0380	1.5417e+00	1.3225e-02	5.3354e-01
0390	1.5833e+00	1.3246e-02	5.3639e-01
0400	1.6250e+00	1.2872e-02	5.3932e-01
0410	1.6667e+00	1.3780e-02	5.5580e-01
0420	1.7083e+00	1.2757e-02	5.4802e-01
0430	1.7500e+00	1.3670e-02	5.6421e-01
0440	1.7917e+00	1.1640e-02	5.4507e-01
0450	1.8333e+00	1.2650e-02	5.5606e-01
0460	1.8750e+00	1.2818e-02	5.7018e-01
0470	1.9167e+00	1.1054e-02	5.5279e-01
0480	1.9583e+00	1.2134e-02	5.6418e-01
0490	2.0000e+00	1.1767e-02	5.6545e-01
0500	2.0417e+00	1.1198e-02	5.6952e-01
0510	2.0833e+00	1.1416e-02	5.7215e-01
0520	2.1250e+00	1.2142e-02	5.8842e-01
0530	2.1667e+00	1.1080e-02	5.7569e-01
0540	2.2038e+00	8.2744e-03	5.4924e-01
0550	2.2423e+00	1.0882e-02	5.8069e-01
0560	2.2808e+00	1.1153e-02	5.8136e-01
0570	2.3192e+00	1.0474e-02	5.8559e-01
0580	2.3577e+00	1.1205e-02	6.0354e-01
0590	2.3962e+00	1.0448e-02	5.9058e-01
0600	2.4346e+00	1.0102e-02	5.9312e-01
0610	2.4731e+00	1.0171e-02	5.9408e-01
0620	2.5115e+00	1.0592e-02	6.0719e-01
0630	2.5500e+00	9.6813e-03	5.9740e-01
0640	2.5885e+00	1.0850e-02	6.1464e-01
0650	2.6269e+00	9.7135e-03	6.0463e-01
0660	2.6654e+00	8.9571e-03	6.0145e-01
0670	2.7038e+00	9.2590e-03	6.0716e-01
0680	2.7423e+00	1.0351e-02	6.2479e-01
0690	2.7808e+00	8.9758e-03	6.1077e-01
0700	2.8192e+00	8.9693e-03	6.1159e-01
0710	2.8577e+00	8.4319e-03	6.0557e-01
0720	2.8962e+00	8.6672e-03	6.1480e-01
0730	2.9346e+00	8.5224e-03	6.1598e-01
0740	2.9731e+00	8.8340e-03	6.1887e-01
0750	3.0115e+00	9.8860e-03	6.3719e-01
0760	3.0500e+00	8.7768e-03	6.2121e-01
0770	3.0885e+00	9.1740e-03	6.3931e-01
0780	3.1269e+00	7.8803e-03	6.2490e-01
0790	3.1654e+00	6.7486e-03	6.1759e-01
0800	3.2038e+00	6.9013e-03	6.2104e-01
0810	3.2423e+00	7.4956e-03	6.3290e-01
0820	3.2808e+00	6.6851e-03	6.2254e-01
0830	3.3192e+00	7.8059e-03	6.3578e-01
0840	3.3577e+00	5.9851e-03	6.2655e-01
0850	3.3962e+00	7.3763e-03	6.3754e-01
0860	3.4346e+00	8.4315e-03	6.5556e-01
0870	3.4731e+00	7.0231e-03	6.4090e-01
0880	3.5115e+00	8.3245e-03	6.5989e-01
0890	3.5500e+00	5.8199e-03	6.3276e-01
0900	3.5885e+00	6.5844e-03	6.4405e-01
0910	3.6269e+00	5.1482e-03	6.3661e-01
0920	3.6654e+00	6.6743e-03	6.4763e-01
0930	3.7038e+00	7.3501e-03	6.6525e-01
0940	3.7423e+00	5.8486e-03	6.5080e-01
0950	3.7808e+00	5.6313e-03	6.4879e-01
0960	3.8192e+00	4.5356e-03	6.4225e-01
0970	3.8577e+00	6.3914e-03	6.5828e-01
0980	3.8962e+00	5.9944e-03	6.5705e-01
